,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
CabinQuarter_D_woe_encoded,20.62306566838477,6.367594689087475e-06,498.3300997532737,0.15107164502661455,29,56,35,63,72,30,15,0.0031235941604428074,0.003751966056688377,0.00268959426395812,0.0,0.0079572685
CabinQuarter_E,19.430296890445565,1.1717560248704859e-05,0.03485077723514955,0.14673471898153184,46,77,75,75,80,9,5,0.0011985856424850119,0.0006924488215500214,0.001884029915629652,0.0,0.019921204
CabinQuarter_E_catboost_encoded,14.771207544281552,0.00013007229778092772,23.92723847485545,0.12827002034824012,18,59,67,54,78,24,24,0.0037024714024231796,0.0016496323468277306,0.0031417257467134473,0.0,0.010564652
CabinQuarter_E_target_encoded,14.903018822671202,0.00012143326416945633,25.738401109282258,0.12883160257285053,88,60,45,62,81,76,0,0.0027674738253713575,0.002012584925314576,0.003153428236697382,0.0,0.0
CabinQuarter_E_woe_encoded,17.430347455416626,3.275619230362971e-05,156.12440510750378,0.13913229865825835,47,64,38,59,79,78,11,0.0028510602225875316,0.0016083635496581962,0.003469902276288096,0.0,0.0
CabinQuarter_F,3.0500461124923044,0.08108257240826021,0.014473491014714804,0.05867107915597122,60,86,78,86,26,79,0,0.0001623595099961488,0.0,0.0006287276682025056,0.0,0.0
CabinQuarter_F_catboost_encoded,0.03869307945464712,0.8441032191509288,6.03224129981834,0.006619524297277406,44,80,73,81,87,38,6,0.0011577268601633104,0.0,0.0015789386933303528,0.0,0.007870842
CabinQuarter_F_target_encoded,0.01568458270919452,0.9003635587018298,7.1213003887631725,0.00421456033443281,78,73,86,77,85,87,0,0.0017945325608494547,0.00020488291355070574,0.002011137214129931,0.0,0.0
CabinQuarter_F_woe_encoded,0.6212476115260955,0.43079558526475514,423.18935307396924,0.026515467631732594,23,66,55,78,60,19,21,0.003015783606114165,0.0,0.0017482258667418011,0.0,0.023380652
CabinQuarter_G,0.23685896204752224,0.6266047741882006,0.004499345654186218,0.016375943022548387,79,87,74,87,44,88,0,0.0003948172228877686,0.0,0.0003316727026763953,0.0,0.0
CabinQuarter_G_catboost_encoded,5.2243696540467015,0.02250870408834721,3.011468779223305,0.07669297888933016,36,75,56,66,10,33,15,0.0012505685435256183,0.0024225150441835944,0.0025415488004927617,0.0,0.008066649
CabinQuarter_G_target_encoded,4.998503272354656,0.025618452475995195,3.505180796691902,0.07502635946220124,58,76,30,69,67,69,0,0.0018013856235432719,0.0022641871611771263,0.0020177739630288867,0.02,0.0
CabinQuarter_G_woe_encoded,1.316302951457365,0.25156739781632975,410.96259404047595,0.03858105610888118,40,78,41,71,75,60,6,0.0011411015709868646,0.0005987074056226995,0.0020100760392268223,0.0,0.0
CabinQuarter_T,0.6176486413774549,0.4321332491794767,0.001128666730505282,0.02643860609906662,62,88,69,88,69,68,0,1.626816554374965e-05,0.0,1.1380185609522273e-05,0.0,0.0
