,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
DailyRate*YearsWithCurrManager_binned_5_woe_encoded,37.04435019733499,1.565948037381285e-09,5.267434457336955,0.17576943917710455,237,270,409,236,281,372,5,0.0015296074327566704,0.0,0.0015053855082990876,0.0,0.0
DailyRate^2,2.7956031471174123,0.09479241444629685,0.35049105806519265,0.048990615865940404,527,25,115,230,283,374,0,0.0025751784553586805,0.005110088454839791,0.0011503857066131073,0.0,0.0
DailyRate^2_binned_5,4.14313822770471,0.042030121004489676,0.49935548558708565,0.05960583563477142,296,423,304,272,285,376,1,0.0009655924284442823,0.0,0.0018059780681588037,0.0,0.0
DailyRate^2_binned_5_catboost_encoded,1.9138115386409578,0.16680619464113464,0.42204910182862004,0.04054984266395986,94,146,360,352,287,378,9,0.0026840199532366465,0.0,0.0013391280920705911,0.0,0.0
DailyRate^2_binned_5_target_encoded,1.9092206710792388,0.1673154391485598,0.4221655618443083,0.0405012576819008,377,314,422,360,289,379,0,0.0013492017482954707,0.0,0.0014836984601594508,0.0,0.0
DailyRate^2_binned_5_woe_encoded,1.1627225695643835,0.2811254044074729,0.37334685084929137,0.03161679283995759,222,225,382,305,291,168,3,0.0025966355271689646,0.0,0.0018817617092715564,0.0,0.004328833
DailyRate_binned_5,4.14313822770471,0.042030121004489676,0.49935548558708565,0.05960583563477142,371,482,321,346,293,418,0,0.0003169884916394686,0.0,0.0012919364639172762,0.0,0.0
DailyRate_binned_5_catboost_encoded,1.9138115386409578,0.16680619464113464,0.42204910182862004,0.04054984266395986,512,244,327,296,295,398,0,0.002397267397325998,0.0,0.001495121647912108,0.0,0.0
DailyRate_binned_5_target_encoded,1.9092206710792388,0.1673154391485598,0.4221655618443083,0.0405012576819008,498,264,322,287,297,400,0,0.0015900737960599211,0.0,0.0010780055584165003,0.0,0.0
DailyRate_binned_5_woe_encoded,1.1627225695643835,0.2811254044074729,0.37334685084929137,0.03161679283995759,499,181,358,330,299,402,0,0.0018998860440047629,0.0,0.0016395153971266573,0.0,0.0
Department_Research & Development,10.811135057641259,0.001039122463401605,0.2247397586235401,0.09601113551132558,100,499,61,122,300,12,7,0.0006047601630197082,0.0,0.002294108046299105,0.0,0.005403368
Department_Research & Development_catboost_encoded,7.922851286197628,0.00496383264516672,0.26832161536895544,0.08229285699811381,46,326,336,97,303,98,5,0.0014422982224637521,0.0,0.0025291920480406886,0.0,0.009410394
Department_Research & Development_target_encoded,7.928236880312016,0.004949180796976481,0.2683687376776577,0.08232063224194938,559,194,324,254,15,407,0,0.0015978027302172065,0.002689823825166914,0.001913806001068074,0.0,0.0
Department_Research & Development_woe_encoded,9.584308409306526,0.0020094376288327595,0.2357829130512223,0.09044688555148557,141,201,263,57,307,72,5,0.0008556239464067854,0.0012077949050103684,0.0015465287189464754,0.02,0.0064115967
Department_Sales,7.435210848054718,0.0064922289456489255,0.20924041402439741,0.07973675572238564,241,475,433,222,309,411,1,0.0007824438965092818,0.0,0.0009207462922251485,0.0,0.0
Department_Sales_catboost_encoded,4.053428735601504,0.04431195865487974,0.29180651710604316,0.0589592629584703,173,393,236,202,311,436,5,0.0012615431068260545,0.002296413513559682,0.001789464946776036,0.0,0.0
Department_Sales_target_encoded,4.058965710143727,0.044167409729608274,0.2916311454556015,0.05899937824797408,383,141,354,163,313,439,0,0.0008240102368326876,0.0,0.0010427479979657685,0.0,0.0
Department_Sales_woe_encoded,5.642234541184532,0.017694351788599776,0.27173472800204296,0.06951374236645709,224,263,39,42,315,113,5,0.0006544355950892114,0.0011974983820179437,0.0018398703751669769,0.0,0.008396238
DistanceFromHome,10.137576219826656,0.00149135073340953,0.4028127244544423,0.09299889147320602,248,83,178,31,317,71,5,0.002214755548214953,0.0,0.002407340402179785,0.0,0.009615921
DistanceFromHome*HourlyRate,5.500673076798558,0.01917664915574967,0.6487073848293509,0.0686403275474781,1,20,43,41,319,53,38,0.003028818136884094,0.006288443428415786,0.0021527050968292286,0.0,0.004465483
DistanceFromHome*HourlyRate_binned_5,10.161345236515158,0.00147241147271047,0.49935400945902864,0.09310690830919494,471,432,340,329,322,435,0,0.0010388313691885786,0.0,0.0016576173971420089,0.0,0.0
DistanceFromHome*HourlyRate_binned_5_catboost_encoded,1.5822389055958506,0.20869120486028434,0.6198435032414811,0.03687546350168192,27,128,330,81,324,44,20,0.0020150212142982476,0.001200933069261732,0.0016754465373989952,0.0,0.006306149
